鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
嘉義市,土地,溪東段331~360地號,4169.96,農,,,1050614,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,33427000,8016,,0.0,0,,RPTNMLOJPHLFFAI58CA
嘉義市,土地,溪東段361~390地號,6280.18,農,,,1050520,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,43700000,6958,,0.0,0,,RPQNMLPJPHLFFAI38CA
嘉義市,房地(土地+建物),嘉義市嘉義巿博東路151~180號,15.28,住,,,1050620,土地1建物1車位0,十五層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870319,124.73,3,2,2,有,有,3500000,28061,,0.0,0,,RPWNMLRJPHLFFAI56CA
嘉義市,房地(土地+建物),嘉義市嘉義巿彌陀路121~150號,7.61,住,,,1050620,土地1建物1車位0,十五層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850311,96.84,3,2,1,有,有,2950000,30463,,0.0,0,,RPPNMLQJPHLFFAI38CA
嘉義市,土地,溪東段391~420地號,363.4,農,,,1050621,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3077998,8470,,0.0,0,,RPXOMLNKPHLFFAI09CA
嘉義市,房地(土地+建物),嘉義市嘉義巿林森東路361~390號,111.19,住,,,1050526,土地2建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,0871125,241.98,4,2,3,有,無,6300000,26035,,0.0,0,,RPQNMLQKPHLFFAI58CA
嘉義市,房地(土地+建物),嘉義市嘉義巿圓福街118巷2弄121~150號,15.04,住,,,1050611,土地1建物1車位0,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820515,92.50999999999999,3,2,2,有,有,3150000,34050,,0.0,0,,RPRNMLQKPHLFFAI68CA
嘉義市,房地(土地+建物),嘉義市嘉義巿海口寮路91~120號,67.0,住,,,1050610,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0830406,156.36,6,2,4,有,無,6180000,39524,,0.0,0,,RPUNMLRKPHLFFAI09CA
嘉義市,房地(土地+建物),嘉義市嘉義巿溪興街1~30號,72.0,住,,,1050606,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0940513,190.14,5,2,3,有,無,9500000,49963,,0.0,0,,RPQNMLNLPHLFFAI38CA
嘉義市,房地(土地+建物),嘉義市嘉義巿自強街32巷1~30號,108.0,住,,,1050616,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0930923,195.03,4,2,3,有,無,7580000,38866,,0.0,0,,RPTNMLNLPHLFFAI68CA
嘉義市,房地(土地+建物),嘉義市嘉義巿育人路563巷1~30號,106.18,住,,,1050606,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0950616,165.13,4,2,3,有,無,8200000,49658,,0.0,0,,RPPOMLMKPHLFFAI28DA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義巿林森東路721~750號,24.71,住,,,1050627,土地1建物1車位1,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920317,100.1,4,2,2,有,有,2800000,27975,坡道平面,0.0,0,,RPPNMLKMPHLFFAI08CA
嘉義市,房地(土地+建物),嘉義市嘉義巿吳鳳南路365巷76弄1~30號,23.05,住,,,1050615,土地2建物1車位0,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821111,143.01,3,2,2,有,無,3180000,22236,,0.0,0,親友、員工或其他特殊關係間之交易。,RPROMLPLPHLFFAI88DA
嘉義市,房地(土地+建物),嘉義市嘉義巿興仁街38巷61~90號,20.95,住,,,1050620,土地1建物1車位0,八層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831223,114.22,2,1,1,有,有,1200000,10506,,0.0,0,親友、員工或其他特殊關係間之交易。,RPVNMLNKPHLFFAI98EA
嘉義市,房地(土地+建物),嘉義市嘉義巿臺林街295巷1~30號,100.0,住,,,1050610,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0691227,105.35,3,2,2,有,無,3950000,37494,,0.0,0,,RPXOMLSKPHLFFAI17EA
嘉義市,房地(土地+建物),嘉義市嘉義巿和平路241~270號,9.18,商,,,1050617,土地1建物1車位0,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821018,77.74000000000001,2,1,2,有,有,2400000,30872,,0.0,0,含室內所有家電設備及電腦設備並補貼衛浴修繕相關費用,RPPNMLKLPHLFFAI18EA
嘉義市,房地(土地+建物),嘉義市嘉義巿吳鳳南路188巷1~30號,52.0,住,,,1050531,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0640828,76.46,2,1,1,有,無,2458000,32148,,0.0,0,,RPRNMLPLPHLFFAI68CA
嘉義市,房地(土地+建物),嘉義市嘉義巿圳頭里5鄰盧厝91~120號,87.0,住,,,1050522,土地1建物1車位0,全,一層,透天厝,住家用,木造,0591010,46.1,2,1,1,有,無,2300000,49892,,0.0,0,,RPWNMLQLPHLFFAI66CA
嘉義市,房地(土地+建物),嘉義市嘉義巿世賢路四段301~330號,112.0,住,,,1050630,土地2建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1050418,193.75,5,2,5,有,無,12380000,63897,,0.0,0,建商與地主合建案。,RPOOMLRKPHLFFAI58CA
嘉義市,房地(土地+建物),嘉義市嘉義巿民生南路403巷48弄1~30號,160.0,住,,,1050604,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0810915,150.66,4,2,3,有,無,7650000,50777,,0.0,0,,RPTNMLRKPHLFFAI98CA
嘉義市,房地(土地+建物),嘉義市嘉義巿臺斗街31~60號,20.72,住,,,1050617,土地2建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880717,120.12,3,2,2,有,有,3750000,31219,,0.0,0,,RPSNMLKLPHLFFAI28CA
嘉義市,房地(土地+建物),嘉義市嘉義巿世賢路四段301~330號,112.0,住,,,1050630,土地2建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1050418,193.5,5,2,5,有,無,12380000,63979,,0.0,0,建商與地主合建案。,RPVNMLRKPHLFFAI56CA
嘉義市,房地(土地+建物),嘉義市嘉義巿興安街301~330號,134.0,住,,,1050630,土地2建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1050418,197.4,5,2,5,有,無,11500000,58257,,0.0,0,建商與地主合建案。,RPPNMLRKPHLFFAI58CA
嘉義市,房地(土地+建物),嘉義市嘉義巿世賢路四段301~330號,112.0,住,,,1050630,土地2建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1050418,193.5,5,2,5,有,無,11500000,59432,,0.0,0,建商與地主合建案。,RPQNMLRKPHLFFAI68CA
嘉義市,土地,民族段三小段31~60地號,159.0,住,,,1050425,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6000000,37736,,0.0,0,,RPRNMLPJPHLFFAI48CA
嘉義市,房地(土地+建物),嘉義市嘉義巿友忠路911巷9弄1~30號,46.0,住,,,1050608,土地1建物1車位0,全,二層,透天厝,住家用,木造,0611105,68.48,3,2,1,有,無,1050000,15333,,0.0,0,,RPSNMLPJPHLFFAI58CA
嘉義市,房地(土地+建物),嘉義市嘉義巿民生南路317巷31~60號,81.0,住,,,1050506,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0620420,99.16,3,2,2,有,無,4000000,40339,,0.0,0,,RPTNMLPJPHLFFAI68CA
嘉義市,土地,何庄段541~570地號,235.58,農,,,1050622,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,801610,3403,,0.0,0,,RPRNMLSJPHLFFAI78CA
嘉義市,房地(土地+建物),嘉義市嘉義巿新榮路211~240號,4.25,商,,,1050525,土地2建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861120,36.34,1,1,1,有,無,1000000,27518,,0.0,0,,RPOOMLMKPHLFFAI08CA
嘉義市,房地(土地+建物),嘉義市嘉義巿中正路391~420號,1.22,商,,,1050624,土地1建物1車位0,十一層,十一層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0850301,29.69,1,1,1,有,有,660000,22230,,0.0,0,,RPSNMLQKPHLFFAI78CA
嘉義市,房地(土地+建物),嘉義市嘉義巿博愛路二段151~180號,34.55,住,,,1050628,土地1建物5車位0,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880421,337.21000000000004,7,6,5,有,有,10200000,30248,,0.0,0,,RPVNMLRJPHLFFAI09CA
嘉義市,土地,檜段六小段1~30地號,207.0,商,,,1050529,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,41220000,199130,,0.0,0,含增建或未登記建物。,RPSNMLPKPHLFFAI68CA
嘉義市,房地(土地+建物),嘉義市嘉義巿中正路391~420號,1.34,商,,,1050624,土地1建物1車位0,十一層,十一層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0850301,30.53,1,1,1,有,有,700000,22928,,0.0,0,,RPQOMLRKPHLFFAI78CA
嘉義市,房地(土地+建物),嘉義市嘉義巿林森東路820巷31~60號,160.09,住,,,1050607,土地4建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0941205,228.26,4,2,3,有,無,11500000,50381,,0.0,0,,RPPNMLOLPHLFFAI38CA
嘉義市,土地,盧厝段361~390地號,1376.75,農,,,1050630,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,1090,,0.0,0,,RPPOMLTLPHLFFAI56EA
嘉義市,土地,北社尾段保安小段661~690地號,104.0,住,,,1050616,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2527200,24300,,0.0,0,二等親間買賣地上房屋同時贈與,RPQNMLNKPHLFFAI48EA
嘉義市,房地(土地+建物),嘉義市嘉義巿文化路694巷19弄1~30號,68.0,住,,,1050615,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0670628,73.16,3,2,2,有,無,5200000,71077,,0.0,0,,RPXNMLLJQHLFFAI78CA
嘉義市,房地(土地+建物),嘉義市嘉義巿立德街55巷1~30號,130.0,住,,,1050616,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0680818,128.22,3,2,3,有,無,9000000,70192,,0.0,0,,RPOOMLLJQHLFFAI97CA
嘉義市,房地(土地+建物),嘉義市嘉義巿北鎮街181~210號,77.0,住,,,1050530,土地1建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,0860314,283.81,6,3,5,有,無,9000000,31711,,0.0,0,,RPOPMLLJQHLFFAI08CA
嘉義市,房地(土地+建物),嘉義市嘉義巿民生南路271~300號,4.76,住,,,1050627,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0780203,31.45,1,1,1,有,無,880000,27981,,0.0,0,,RPTNMLNJQHLFFAI58CA
嘉義市,房地(土地+建物),嘉義市嘉義巿忠孝路781~810號,75.0,住,,,1050524,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0900604,160.46,4,3,3,有,無,5150000,32095,,0.0,0,,RPSOMLLLPHLFFAI48CA
嘉義市,房地(土地+建物),嘉義市嘉義巿東義路156巷35弄31~60號,73.0,住,,,1050625,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0670202,88.54,4,2,2,有,無,4980000,56246,,0.0,0,含增建或未登記建物。,RPRNMLOLPHLFFAI58CA
嘉義市,房地(土地+建物),嘉義市嘉義巿仁愛路1~30號,8.41,住,,,1050617,土地1建物1車位0,四層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0800823,46.8,1,1,1,有,有,1380000,29487,,0.0,0,,RPPNMLSKPHLFFAI68CA
嘉義市,房地(土地+建物),嘉義市嘉義巿漢口路91~120號,150.0,住,,,1050606,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0751218,190.15,7,0,7,有,無,11500000,60479,,0.0,0,,RPUNMLSKPHLFFAI56CA
嘉義市,房地(土地+建物),嘉義市嘉義巿湖子內路1巷61~90號,74.0,住,,,1050620,土地1建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,0830422,231.91,6,2,5,有,無,5700000,24579,,0.0,0,,RPSOMLSKPHLFFAI09CA
嘉義市,房地(土地+建物),嘉義市嘉義巿林森東路269巷91~120號,61.0,住,,,1050614,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0631014,87.23,2,1,2,有,無,3570000,40926,,0.0,0,,RPQNMLPKPHLFFAI48CA
嘉義市,房地(土地+建物),嘉義市嘉義巿忠孝路781~810號,14.0,住,,,1050605,土地1建物1車位0,十一層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841004,93.19,3,1,2,有,有,2900000,31119,,0.0,0,,RPRNMLPKPHLFFAI58CA
嘉義市,土地,埤子頭段271~300地號,20.25,住,,,1050627,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,765000,37778,,0.0,0,,RPWNMLRKPHLFFAI66CA
嘉義市,土地,埤子頭段271~300地號,20.25,住,,,1050622,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,765000,37778,,0.0,0,,RPXNMLRKPHLFFAI76CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義巿新榮路35巷1~30號,35.96,住,,,1050610,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931029,213.54000000000002,4,2,2,有,有,5980000,28004,坡道平面,0.0,0,,RPTNMLRJPHLFFAI88CA
嘉義市,房地(土地+建物),嘉義市嘉義巿自強街49巷1~30號,115.0,住,,,1050615,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0750109,139.37,4,2,2,有,無,5700000,40898,,0.0,0,,RPPNMLLKPHLFFAI97CA
嘉義市,房地(土地+建物),嘉義市嘉義巿北港路241~270號,17.42,住,,,1050430,土地1建物1車位0,十層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830606,110.63000000000001,3,2,2,有,有,3200000,28925,,0.0,0,,RPSOMLLKPHLFFAI38CA
嘉義市,房地(土地+建物),嘉義市嘉義巿文化路1~30號,132.5,住,,,1050628,土地2建物1車位0,一層，二層，三層，四層，見其他登記事項,四層,店面(店鋪),見其他登記事項,鋼筋混凝土造,0960824,262.23,4,2,4,有,無,18500000,70549,,0.0,0,,RPQNMLMKPHLFFAI18CA
嘉義市,土地,下路頭段271~300地號,69.0,住,,,1050621,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2900000,42029,,0.0,0,土地有未保存登記建物一棟,RPROMLMKPHLFFAI38CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義巿文雅街150巷1~30號,21.61,住,,,1050613,土地1建物1車位1,十一層，十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841002,148.71,3,2,2,有,有,4450000,29924,升降機械,0.0,0,,RPQOMLSKPHLFFAI88CA
